trial,Model,h1,h3,h6,h12
119,GNARX_wb,8.614,2.571,0.971,1.7
120,GNAR,1.443,0.986,-0.229,1.2
120,GNARX_wb,8.614,2.586,1.371,2.043
121,GNAR,1.471,0.514,-1.457,0.571
121,GNARX_wb,8.557,2.7,1.5,2.114
122,GNAR,0.157,-0.814,-2.071,0.243
122,GNARX_wb,7.786,1.871,0.743,1.657
123,GNAR,1.171,1.143,-0.2,1.5
123,GNARX_wb,8.7,2.9,1.729,2.243
124,GNAR,1.114,0.457,-1.243,1.014
124,GNARX_wb,8.471,2.514,1.3,1.929
125,GNAR,1.4,1.129,-0.5,1.143
125,GNARX_wb,8.757,2.929,1.7,2.1
126,GNAR,1.386,0.357,-1.529,0.4
126,GNARX_wb,8.529,2.5,1.043,1.8
127,GNAR,1.029,-0.0,-1.571,0.214
127,GNARX_wb,8.6,2.657,1.386,1.914
128,GNAR,1.214,0.757,-0.857,0.943
128,GNARX_wb,8.414,2.657,1.414,2.014
129,GNAR,1.057,1.143,-0.886,0.686
129,GNARX_wb,8.414,2.757,1.3,1.786
130,GNAR,1.329,0.057,-1.629,0.157
130,GNARX_wb,8.286,2.3,1.043,1.686
131,GNAR,0.957,0.071,-1.986,0.243
131,GNARX_wb,8.343,2.314,0.971,1.829
132,GNAR,1.0,0.0,-1.729,0.157
132,GNARX_wb,8.643,2.6,1.329,1.814
133,GNAR,1.243,-0.143,-2.114,-0.257
133,GNARX_wb,8.643,2.643,1.286,1.643
134,GNAR,1.071,-0.214,-1.871,0.186
134,GNARX_wb,8.357,2.329,1.171,1.843
135,GNAR,1.286,-0.314,-2.6,-0.471
135,GNARX_wb,8.457,2.229,0.657,1.386
136,GNAR,1.286,0.286,-1.7,0.6
136,GNARX_wb,8.686,2.571,1.043,1.843
137,GNAR,0.886,0.014,-1.871,0.4
137,GNARX_wb,8.129,2.314,1.014,1.786
138,GNAR,1.157,0.414,-1.286,0.471
138,GNARX_wb,8.343,2.429,1.343,1.871
139,GNAR,0.886,-0.371,-2.271,0.214
139,GNARX_wb,8.486,2.429,1.143,1.843
140,GNAR,1.414,0.614,-1.3,0.214
140,GNARX_wb,8.571,2.7,1.314,1.757
141,GNAR,0.829,0.086,-2.271,0.257
141,GNARX_wb,8.643,2.686,1.457,2.043
142,GNAR,1.8,1.243,-0.529,1.171
142,GNARX_wb,8.6,2.743,1.543,2.129
143,GNAR,1.157,1.086,-0.329,1.186
143,GNARX_wb,8.6,2.686,1.543,2.086
144,GNAR,0.457,-0.743,-2.843,-0.371
144,GNARX_wb,8.214,2.171,0.871,1.671
145,GNAR,1.343,0.629,-1.286,0.943
145,GNARX_wb,8.614,2.629,1.214,2.0
146,GNAR,0.857,-0.471,-2.4,0.229
146,GNARX_wb,8.5,2.357,1.029,1.871
147,GNAR,1.229,0.557,-1.471,0.443
147,GNARX_wb,8.5,2.571,1.429,2.157
148,GNAR,0.829,-0.114,-1.886,0.429
148,GNARX_wb,8.686,2.843,1.5,2.057
149,GNAR,0.514,-0.786,-2.443,-0.229
149,GNARX_wb,8.4,2.114,0.843,1.757
150,GNAR,1.329,1.443,-0.014,2.057
150,GNARX_wb,8.629,2.786,1.471,2.2
151,GNAR,0.371,-0.6,-2.357,-0.086
151,GNARX_wb,8.086,2.114,0.8,1.7
152,GNAR,1.114,0.343,-1.343,0.971
152,GNARX_wb,8.557,2.771,1.5,2.071
153,GNAR,0.614,-0.186,-2.143,0.586
153,GNARX_wb,8.457,2.414,1.014,1.871
154,GNAR,0.414,0.743,-1.314,0.529
154,GNARX_wb,8.614,2.8,1.529,2.086
155,GNAR,0.086,-0.229,-1.614,1.043
155,GNARX_wb,8.557,2.757,1.514,2.143
156,GNAR,1.5,0.571,-1.3,0.586
156,GNARX_wb,8.557,2.7,1.5,2.029
157,GNAR,0.457,-0.243,-2.157,0.343
157,GNARX_wb,8.4,2.671,1.314,1.986
158,GNAR,1.443,0.429,-1.029,1.3
158,GNARX_wb,8.771,2.529,1.4,2.129
159,GNAR,0.671,1.114,-0.043,1.771
159,GNARX_wb,8.4,2.771,1.686,2.186
160,GNAR,1.457,0.557,-1.443,0.629
160,GNARX_wb,8.586,2.443,1.114,1.771
161,GNAR,1.071,0.386,-1.629,0.8
161,GNARX_wb,8.571,2.643,1.343,1.971
162,GNAR,1.4,-0.057,-2.286,0.029
162,GNARX_wb,8.614,2.4,0.9,1.614
163,GNAR,1.386,1.6,0.143,1.343
163,GNARX_wb,8.586,2.871,1.814,2.171
164,GNAR,0.914,0.657,-0.5,1.171
164,GNARX_wb,8.214,2.443,1.357,1.943
165,GNAR,1.386,0.486,-1.429,0.243
165,GNARX_wb,8.586,2.529,1.157,1.9
166,GNAR,0.629,0.086,-1.8,0.571
166,GNARX_wb,8.6,2.514,1.0,1.8
167,GNAR,1.2,1.3,0.171,1.443
167,GNARX_wb,8.514,2.7,1.486,1.886
168,GNAR,1.357,0.671,-0.871,0.8
168,GNARX_wb,8.586,2.671,1.443,2.029
169,GNAR,1.343,0.686,-1.386,0.557
169,GNARX_wb,8.643,2.657,1.086,1.729
170,GNAR,1.071,0.914,-0.471,1.0
170,GNARX_wb,8.286,2.529,1.543,1.957
171,GNAR,0.929,0.229,-1.4,0.257
171,GNARX_wb,8.514,2.6,1.371,1.986
172,GNAR,0.371,-0.271,-2.043,0.543
172,GNARX_wb,8.586,2.286,0.857,1.843
173,GNAR,1.286,1.529,0.486,1.857
173,GNARX_wb,8.257,2.543,1.586,2.0
174,GNAR,1.671,0.6,-1.214,0.6
174,GNARX_wb,8.529,2.686,1.529,2.0
175,GNAR,1.257,-0.243,-2.429,-0.014
175,GNARX_wb,8.614,2.657,1.157,1.814
176,GNAR,1.314,1.714,0.614,1.729
176,GNARX_wb,8.4,2.757,1.6,2.1
177,GNAR,1.2,0.243,-1.486,0.3
177,GNARX_wb,8.629,2.571,1.429,1.814
178,GNAR,0.257,-1.229,-3.5,-0.143
178,GNARX_wb,8.329,2.214,0.743,1.886
179,GNAR,1.071,0.343,-1.671,0.229
179,GNARX_wb,8.557,2.8,1.571,2.171
180,GNAR,1.143,0.129,-1.414,0.157
180,GNARX_wb,8.571,2.486,1.329,1.814
181,GNAR,1.029,-0.071,-2.029,0.257
181,GNARX_wb,8.614,2.486,1.086,1.771
182,GNAR,0.957,0.371,-1.243,0.571
182,GNARX_wb,8.757,2.743,1.314,1.971
183,GNAR,0.771,-0.543,-2.371,0.043
183,GNARX_wb,8.614,2.729,1.543,2.1
