Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_SARIMA_%
Lake Turkana,GNAR_refit,1,0.1137,0.0863,60,-14.0
Lake Turkana,GNAR_refit,3,0.311,0.2606,58,-26.7
Lake Turkana,GNAR_refit,6,0.5323,0.4418,55,-28.8
Lake Turkana,GNAR_refit,12,0.6274,0.494,49,7.7
Lake Turkana,GNARX_wb,1,0.111,0.0847,60,-11.3
Lake Turkana,GNARX_wb,3,0.3109,0.2607,58,-26.7
Lake Turkana,GNARX_wb,6,0.5314,0.4383,55,-28.5
Lake Turkana,GNARX_wb,12,0.6521,0.5252,49,4.1
Lake Turkana,GNARX_wb_refit,1,0.1111,0.085,60,-11.4
Lake Turkana,GNARX_wb_refit,3,0.3115,0.2614,58,-26.9
Lake Turkana,GNARX_wb_refit,6,0.5315,0.4386,55,-28.6
Lake Turkana,GNARX_wb_refit,12,0.6439,0.5154,49,5.3
Lake Turkana,GNARX_wb_dmi,1,0.1071,0.0827,60,-7.4
Lake Turkana,GNARX_wb_dmi,3,0.293,0.2446,58,-19.4
Lake Turkana,GNARX_wb_dmi,6,0.4796,0.3953,55,-16.0
Lake Turkana,GNARX_wb_dmi,12,0.486,0.3977,49,28.5
Lake Turkana,GNARX_wb_dmi_refit,1,0.1074,0.0829,60,-7.7
Lake Turkana,GNARX_wb_dmi_refit,3,0.2946,0.2455,58,-20.0
Lake Turkana,GNARX_wb_dmi_refit,6,0.4835,0.3997,55,-17.0
Lake Turkana,GNARX_wb_dmi_refit,12,0.4867,0.3938,49,28.4
Lake Victoria,RandomWalk,1,0.1099,0.0894,60,-75.6
Lake Victoria,RandomWalk,3,0.2405,0.1921,58,-72.4
Lake Victoria,RandomWalk,6,0.3206,0.2448,55,-41.5
Lake Victoria,RandomWalk,12,0.3363,0.29,49,1.3
Lake Victoria,SARIMA,1,0.0626,0.0503,60,0.0
Lake Victoria,SARIMA,3,0.1395,0.1096,58,0.0
Lake Victoria,SARIMA,6,0.2266,0.1745,55,0.0
Lake Victoria,SARIMA,12,0.3407,0.2929,49,0.0
Lake Victoria,GNAR,1,0.0589,0.0465,60,5.9
Lake Victoria,GNAR,3,0.1405,0.1095,58,-0.7
Lake Victoria,GNAR,6,0.2344,0.1803,55,-3.4
Lake Victoria,GNAR,12,0.3487,0.3035,49,-2.3
Lake Victoria,GNAR_refit,1,0.0588,0.0463,60,6.1
Lake Victoria,GNAR_refit,3,0.1402,0.1088,58,-0.5
Lake Victoria,GNAR_refit,6,0.2344,0.1789,55,-3.4
Lake Victoria,GNAR_refit,12,0.3532,0.3082,49,-3.7
Lake Victoria,GNARX_wb,1,0.0463,0.0358,60,26.0
Lake Victoria,GNARX_wb,3,0.1279,0.101,58,8.3
Lake Victoria,GNARX_wb,6,0.2162,0.1687,55,4.6
Lake Victoria,GNARX_wb,12,0.3344,0.2893,49,1.8
Lake Victoria,GNARX_wb_refit,1,0.0466,0.036,60,25.6
Lake Victoria,GNARX_wb_refit,3,0.1284,0.1007,58,8.0
Lake Victoria,GNARX_wb_refit,6,0.2176,0.1672,55,4.0
Lake Victoria,GNARX_wb_refit,12,0.3398,0.2929,49,0.3
Lake Victoria,GNARX_wb_dmi,1,0.0453,0.0364,60,27.6
Lake Victoria,GNARX_wb_dmi,3,0.1151,0.0929,58,17.5
Lake Victoria,GNARX_wb_dmi,6,0.1938,0.1605,55,14.5
Lake Victoria,GNARX_wb_dmi,12,0.3298,0.289,49,3.2
Lake Victoria,GNARX_wb_dmi_refit,1,0.0456,0.0366,60,27.2
Lake Victoria,GNARX_wb_dmi_refit,3,0.1157,0.0929,58,17.1
Lake Victoria,GNARX_wb_dmi_refit,6,0.1953,0.1612,55,13.8
Lake Victoria,GNARX_wb_dmi_refit,12,0.3327,0.2924,49,2.3
