Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Malawi,RandomWalk,1,0.2235,0.185,60,-102.8,34.7,0.639
Lake Malawi,RandomWalk,3,0.5707,0.4954,58,-130.7,88.6,1.71
Lake Malawi,RandomWalk,6,0.7759,0.6755,55,-108.5,120.5,2.331
Lake Malawi,RandomWalk,12,0.547,0.5005,49,1.4,84.9,1.727
Lake Malawi,SARIMA,1,0.1102,0.0692,60,0.0,17.1,0.239
Lake Malawi,SARIMA,3,0.2474,0.1658,58,0.0,38.4,0.572
Lake Malawi,SARIMA,6,0.3721,0.2811,55,0.0,57.8,0.97
Lake Malawi,SARIMA,12,0.5549,0.4783,49,0.0,86.2,1.651
Lake Malawi,GNAR,1,0.1083,0.0654,60,1.7,16.8,0.226
Lake Malawi,GNAR,3,0.2359,0.1545,58,4.6,36.6,0.533
Lake Malawi,GNAR,6,0.3575,0.2638,55,3.9,55.5,0.91
Lake Malawi,GNAR,12,0.5544,0.4887,49,0.1,86.1,1.687
Lake Malawi,GNAR_refit,1,0.1081,0.0653,60,1.9,16.8,0.225
Lake Malawi,GNAR_refit,3,0.2368,0.1552,58,4.3,36.8,0.536
Lake Malawi,GNAR_refit,6,0.3601,0.2653,55,3.2,55.9,0.916
Lake Malawi,GNAR_refit,12,0.562,0.4868,49,-1.3,87.3,1.68
Lake Malawi,GNARX_wb,1,0.082,0.0526,60,25.6,12.7,0.182
Lake Malawi,GNARX_wb,3,0.2194,0.1403,58,11.3,34.1,0.484
Lake Malawi,GNARX_wb,6,0.3447,0.2469,55,7.4,53.5,0.852
Lake Malawi,GNARX_wb,12,0.5351,0.4766,49,3.6,83.1,1.645
Lake Malawi,GNARX_wb_refit,1,0.0825,0.0527,60,25.1,12.8,0.182
Lake Malawi,GNARX_wb_refit,3,0.2207,0.1408,58,10.8,34.3,0.486
Lake Malawi,GNARX_wb_refit,6,0.3473,0.2479,55,6.7,53.9,0.856
Lake Malawi,GNARX_wb_refit,12,0.5427,0.4749,49,2.2,84.3,1.639
Lake Malawi,GNARX_wb_dmi,1,0.0818,0.0524,60,25.8,12.7,0.181
Lake Malawi,GNARX_wb_dmi,3,0.2154,0.1474,58,12.9,33.5,0.509
Lake Malawi,GNARX_wb_dmi,6,0.3422,0.2426,55,8.0,53.1,0.837
Lake Malawi,GNARX_wb_dmi,12,0.5797,0.4757,49,-4.5,90.0,1.642
Lake Malawi,GNARX_wb_dmi_refit,1,0.0825,0.0526,60,25.1,12.8,0.182
Lake Malawi,GNARX_wb_dmi_refit,3,0.2175,0.1499,58,12.1,33.8,0.517
Lake Malawi,GNARX_wb_dmi_refit,6,0.3476,0.2458,55,6.6,54.0,0.848
Lake Malawi,GNARX_wb_dmi_refit,12,0.5938,0.4813,49,-7.0,92.2,1.661
Lake Tanganyika,RandomWalk,1,0.1712,0.1472,60,-95.0,36.5,0.497
Lake Tanganyika,RandomWalk,3,0.4286,0.3809,58,-111.5,91.5,1.287
Lake Tanganyika,RandomWalk,6,0.6197,0.5191,55,-81.3,132.2,1.754
Lake Tanganyika,RandomWalk,12,0.4753,0.394,49,-4.5,101.4,1.332
Lake Tanganyika,SARIMA,1,0.0878,0.0624,60,0.0,18.7,0.211
Lake Tanganyika,SARIMA,3,0.2026,0.1551,58,0.0,43.2,0.524
Lake Tanganyika,SARIMA,6,0.3418,0.2706,55,0.0,72.9,0.915
Lake Tanganyika,SARIMA,12,0.4547,0.3789,49,0.0,97.0,1.281
Lake Tanganyika,GNAR,1,0.0758,0.0518,60,13.7,16.2,0.175
Lake Tanganyika,GNAR,3,0.1589,0.1202,58,21.6,33.9,0.406
Lake Tanganyika,GNAR,6,0.268,0.211,55,21.6,57.2,0.713
Lake Tanganyika,GNAR,12,0.4319,0.36,49,5.0,92.2,1.217
Lake Tanganyika,GNAR_refit,1,0.076,0.0522,60,13.4,16.2,0.176
Lake Tanganyika,GNAR_refit,3,0.1587,0.1209,58,21.7,33.9,0.409
Lake Tanganyika,GNAR_refit,6,0.2669,0.2118,55,21.9,56.9,0.716
Lake Tanganyika,GNAR_refit,12,0.4291,0.3561,49,5.6,91.6,1.203
