Lake,Model,Horizon_m,RMSE_m,MAE_m,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Malawi,VARX_oracle,1,0.0811,0.0556,26.4,12.6,0.192
Lake Malawi,VARX_oracle,3,0.1552,0.1011,37.3,24.1,0.349
Lake Malawi,VARX_oracle,6,0.2403,0.1703,35.4,37.3,0.588
Lake Malawi,VARX_oracle,12,0.3906,0.3325,29.6,60.7,1.148
Lake Tanganyika,RandomWalk,1,0.1712,0.1472,-95.0,36.5,0.497
Lake Tanganyika,RandomWalk,3,0.4286,0.3809,-111.5,91.5,1.287
Lake Tanganyika,RandomWalk,6,0.6197,0.5191,-81.3,132.2,1.754
Lake Tanganyika,RandomWalk,12,0.4753,0.394,-4.5,101.4,1.332
Lake Tanganyika,SARIMA,1,0.0878,0.0624,0.0,18.7,0.211
Lake Tanganyika,SARIMA,3,0.2026,0.1551,0.0,43.2,0.524
Lake Tanganyika,SARIMA,6,0.3418,0.2706,0.0,72.9,0.915
Lake Tanganyika,SARIMA,12,0.4547,0.3789,0.0,97.0,1.281
Lake Tanganyika,VAR,1,0.0745,0.0518,15.1,15.9,0.175
Lake Tanganyika,VAR,3,0.1494,0.1107,26.3,31.9,0.374
Lake Tanganyika,VAR,6,0.2532,0.1955,25.9,54.0,0.661
Lake Tanganyika,VAR,12,0.4149,0.3443,8.8,88.5,1.164
Lake Tanganyika,VARX_orig,1,0.0795,0.0523,9.5,17.0,0.177
Lake Tanganyika,VARX_orig,3,0.1856,0.144,8.4,39.6,0.487
Lake Tanganyika,VARX_orig,6,0.3472,0.2705,-1.6,74.1,0.914
Lake Tanganyika,VARX_orig,12,0.5821,0.469,-28.0,124.2,1.585
Lake Tanganyika,VARX_zero,1,0.0694,0.044,21.0,14.8,0.149
Lake Tanganyika,VARX_zero,3,0.1478,0.1104,27.0,31.5,0.373
Lake Tanganyika,VARX_zero,6,0.2427,0.199,29.0,51.8,0.673
Lake Tanganyika,VARX_zero,12,0.367,0.3247,19.3,78.3,1.097
Lake Tanganyika,VARX_dmionly,1,0.0746,0.0521,15.0,15.9,0.176
Lake Tanganyika,VARX_dmionly,3,0.1462,0.1081,27.8,31.2,0.365
Lake Tanganyika,VARX_dmionly,6,0.2273,0.1739,33.5,48.5,0.588
Lake Tanganyika,VARX_dmionly,12,0.3312,0.2671,27.2,70.7,0.903
Lake Tanganyika,VARX_oracle,1,0.0694,0.044,21.0,14.8,0.149
Lake Tanganyika,VARX_oracle,3,0.1258,0.0879,37.9,26.8,0.297
Lake Tanganyika,VARX_oracle,6,0.189,0.1433,44.7,40.3,0.484
Lake Tanganyika,VARX_oracle,12,0.2555,0.2063,43.8,54.5,0.697
Lake Turkana,RandomWalk,1,0.1204,0.086,-20.8,10.7,0.129
Lake Turkana,RandomWalk,3,0.2748,0.2148,-12.0,24.4,0.322
Lake Turkana,RandomWalk,6,0.449,0.3703,-8.6,39.8,0.555
Lake Turkana,RandomWalk,12,0.8021,0.6708,-18.0,71.1,1.005
Lake Turkana,SARIMA,1,0.0997,0.0722,0.0,8.8,0.108
Lake Turkana,SARIMA,3,0.2454,0.1988,0.0,21.8,0.298
Lake Turkana,SARIMA,6,0.4134,0.3584,0.0,36.6,0.537
Lake Turkana,SARIMA,12,0.68,0.615,0.0,60.3,0.922
Lake Turkana,VAR,1,0.1168,0.0893,-17.2,10.4,0.134
Lake Turkana,VAR,3,0.3179,0.2599,-29.5,28.2,0.389
Lake Turkana,VAR,6,0.5102,0.4214,-23.4,45.2,0.631
Lake Turkana,VAR,12,0.6046,0.4796,11.1,53.6,0.719
Lake Turkana,VARX_orig,1,0.1323,0.1,-32.7,11.7,0.15
Lake Turkana,VARX_orig,3,0.4059,0.3203,-65.4,36.0,0.48
Lake Turkana,VARX_orig,6,0.795,0.6498,-92.3,70.5,0.974
Lake Turkana,VARX_orig,12,1.4511,1.2747,-113.4,128.6,1.91
Lake Turkana,VARX_zero,1,0.1141,0.0939,-14.4,10.1,0.141
Lake Turkana,VARX_zero,3,0.3143,0.2581,-28.1,27.9,0.387
Lake Turkana,VARX_zero,6,0.5239,0.4223,-26.7,46.4,0.633
Lake Turkana,VARX_zero,12,0.6648,0.5209,2.2,58.9,0.781
Lake Turkana,VARX_dmionly,1,0.1175,0.0917,-17.9,10.4,0.137
Lake Turkana,VARX_dmionly,3,0.3253,0.2602,-32.6,28.8,0.39
Lake Turkana,VARX_dmionly,6,0.5364,0.4375,-29.8,47.5,0.656
Lake Turkana,VARX_dmionly,12,0.4845,0.3858,28.8,42.9,0.578
Lake Turkana,VARX_oracle,1,0.1141,0.0939,-14.4,10.1,0.141
